       value	     chindex	     chlabel	        bini	     ERPset
0.315	9	          F7	2	9
1.559	10	         FC3	2	9
0.264	11	         FT7	2	9
1.55	12	          C3	2	9
2.016	13	         FP2	2	9
2.371	14	          F4	2	9
2.087	15	          F8	2	9
2.373	16	         FC4	2	9
1.96	17	         FT8	2	9
2.834	18	          C4	2	9
1.505	19	         CP3	2	9
-1.001	20	         TP7	2	9
-1.162	21	          LM	2	9
0.119	22	          P3	2	9
-2.191	23	          P7	2	9
-1.451	24	          O1	2	9
3.757	25	         CP4	2	9
1.092	26	         TP8	2	9
1.162	27	          RM	2	9
2.499	28	          P4	2	9
0.104	29	          P8	2	9
-0.17	30	          O2	2	9
2.722	31	        HEOG	2	9
0.865	32	        VEOG	2	9
1.656	33	         NAZ	2	9
2.246	34	         FPz	2	9
2.2	35	         AFz	2	9
0.299	36	         POZ	2	9
1.608	37	         AF3	2	9
0.642	38	         AF7	2	9
2.032	39	          F1	2	9
0.815	40	          F5	2	9
2.294	41	         FC1	2	9
0.89	42	         FC5	2	9
2.638	43	          C1	2	9
0.703	44	          C5	2	9
2.586	45	         AF4	2	9
2.254	46	         AF8	2	9
2.428	47	          F2	2	9
2.269	48	          F6	2	9
2.447	49	         FC2	2	9
2.338	50	         FC6	2	9
3.056	51	          C2	2	9
2.327	52	          C6	2	9
2.686	53	         CP1	2	9
0.099	54	         CP5	2	9
1.47	55	          P1	2	9
-1.353	56	          P5	2	9
-0.737	57	         PO3	2	9
-2.483	58	         PO7	2	9
3.88	59	         CP2	2	9
2.376	60	         CP6	2	9
2.749	61	          P2	2	9
1.516	62	          P6	2	9
0.694	63	         PO4	2	9
0.189	64	         PO8	2	9
4.286	1	          Fz	1	10
4.134	2	         FCz	1	10
4.126	3	          Cz	1	10
3.499	4	         CPz	1	10
1.579	5	          Pz	1	10
-0.302	6	          Oz	1	10
3.469	7	         FP1	1	10
3.661	8	          F3	1	10
2.326	9	          F7	1	10
3.736	10	         FC3	1	10
1.72	11	         FT7	1	10
3.293	12	          C3	1	10
3.395	13	         FP2	1	10
4.284	14	          F4	1	10
2.525	15	          F8	1	10
4.676	16	         FC4	1	10
2.355	17	         FT8	1	10
4.521	18	          C4	1	10
2.65	19	         CP3	1	10
0.118	20	         TP7	1	10
0.206	21	          LM	1	10
1.095	22	          P3	1	10
-0.1	23	          P7	1	10
-0.307	24	          O1	1	10
3.679	25	         CP4	1	10
1.29	26	         TP8	1	10
-0.206	27	          RM	1	10
2.241	28	          P4	1	10
0.348	29	          P8	1	10
-0.153	30	          O2	1	10
6.54	31	        HEOG	1	10
6.65	32	        VEOG	1	10
4.201	33	         NAZ	1	10
3.237	34	         FPz	1	10
3.723	35	         AFz	1	10
0.215	36	         POZ	1	10
3.321	37	         AF3	1	10
2.972	38	         AF7	1	10
3.772	39	          F1	1	10
2.774	40	          F5	1	10
4.1	41	         FC1	1	10
2.601	42	         FC5	1	10
3.956	43	          C1	1	10
2.179	44	          C5	1	10
3.603	45	         AF4	1	10
2.637	46	         AF8	1	10
4.338	47	          F2	1	10
3.538	48	          F6	1	10
4.588	49	         FC2	1	10
3.574	50	         FC6	1	10
4.58	51	          C2	1	10
3.429	52	          C6	1	10
3.076	53	         CP1	1	10
1.441	54	         CP5	1	10
1.014	55	          P1	1	10
-0.128	56	          P5	1	10
-0.386	57	         PO3	1	10
-0.43	58	         PO7	1	10
3.682	59	         CP2	1	10
2.804	60	         CP6	1	10
2.048	61	          P2	1	10
1.465	62	          P6	1	10
0.435	63	         PO4	1	10
0.056	64	         PO8	1	10
2.177	1	          Fz	2	10
2.075	2	         FCz	2	10
1.944	3	          Cz	2	10
1.537	4	         CPz	2	10
0.387	5	          Pz	2	10
-0.579	6	          Oz	2	10
2.027	7	         FP1	2	10
1.677	8	          F3	2	10
0.638	9	          F7	2	10
1.498	10	         FC3	2	10
0.185	11	         FT7	2	10
1.241	12	          C3	2	10
2.211	13	         FP2	2	10
2.699	14	          F4	2	10
2.116	15	          F8	2	10
3.044	16	         FC4	2	10
1.862	17	         FT8	2	10
2.9	18	          C4	2	10
0.839	19	         CP3	2	10
-0.339	20	         TP7	2	10
-0.167	21	          LM	2	10
-0.041	22	          P3	2	10
-0.61	23	          P7	2	10
-0.589	24	          O1	2	10
2.541	25	         CP4	2	10
0.893	26	         TP8	2	10
0.167	27	          RM	2	10
1.489	28	          P4	2	10
0.264	29	          P8	2	10
-0.268	30	          O2	2	10
